V1,V2,V3,V4
1535,1.45,1.061922525,1.06
1536,1.54,0.989870317,0.98
1537,NA,NA,NA
1538,1.55,1.026872038,1.05
1539,NA,NA,NA
1540,1.29,0.976706231,0.98
1541,1.26,0.918413978,0.91
1542,1.28,0.990222222,0.985
1543,NA,NA,NA
1544,NA,NA,NA
1545,NA,NA,NA
1546,1.54,1.120510753,1.11
1547,NA,NA,NA
1548,1.45,1.02902965,1.035
1549,1.37,0.881794159,0.88
1550,1.22,0.825703593,0.82
1551,1.18,0.872584574,0.88
1552,1.28,0.919178273,0.92
1553,1.28,0.925376344,0.93
1554,1.3,0.970446927,0.96
1555,1.27,0.992748948,1
1556,1.32,1.030663957,1.02
1557,1.51,1.042919605,1.03
1558,NA,NA,NA
1559,1.71,1.143830084,1.14
1560,NA,NA,NA
1561,1.64,1.144322493,1.12
1562,1.24,0.848669725,0.83
1563,1.27,0.946460296,0.94
1564,1.22,0.923555556,0.92
1565,1.22,0.948371467,0.95
1566,1.2,0.908858773,0.9
1567,1.28,1.029301075,1.03
1568,1.46,1.045572207,1.06
1569,1.38,1.043509749,1.04
1570,1.77,1.136039326,1.13
1571,NA,NA,NA
1572,1.46,1.012340136,1.01
1573,1.58,1.084339623,1.08
1574,1.41,0.9490625,0.97
1575,1.36,0.917741935,0.91
1576,1.23,0.921402778,0.92
1577,1.29,0.991393443,0.99
1578,1.26,0.957204451,0.96
1579,1.38,1.087588076,1.09
1580,1.44,1.090570236,1.07
1581,1.31,0.988236111,0.97
1582,1.5,1.103063428,1.1
1583,NA,NA,NA
1584,1.62,1.116895161,1.1
1585,1.76,1.123174387,1.1
1586,1.19,0.883807471,0.88
1587,1.29,0.931303763,0.93
1588,NA,NA,NA
1589,1.27,0.982805556,0.99
1590,1.19,0.966652778,0.98
1591,1.38,1.041507402,1.03
1592,1.25,1.015767045,1.02
1593,1.43,1.110014286,1.1
1594,1.52,1.170094467,1.16
1595,NA,NA,NA
1596,NA,NA,NA
1597,1.53,1.029945504,1.02
1598,NA,NA,NA
1599,1.47,0.925294118,0.89
1600,1.31,0.905375,0.9
1601,1.28,0.949959677,0.945
1602,1.41,1.01054242,1.02
1603,1.23,0.964950774,0.97
1604,1.39,1.046048387,1.04
1605,1.28,1.005111111,1
1606,1.56,1.039393103,1.02
1607,NA,NA,NA
1608,1.19,0.931384409,0.94
1609,NA,NA,NA
1610,1.58,0.952816692,0.93
1611,1.32,0.95756393,0.96
1612,1.33,0.906073969,0.9
1613,1.38,0.947886179,0.955
1614,1.26,0.978777778,0.97
1615,1.21,0.978878116,0.98
1616,1.43,1.060814917,1.06
1617,1.5,1.069303704,1.05
1618,1.69,1.277338936,1.27
1619,NA,NA,NA
1620,1.53,1.214785615,1.2
1621,1.52,0.99866485,0.99
1622,NA,NA,NA
1623,1.23,0.873978495,0.88
