"V1","V2","V3","V4"
1985,4.3,2.7585935302391,2.96
1986,4.36,2.81716666666667,3.11
1987,4.49,2.87068548387097,3.17
1988,4.45,2.91962314939435,3.15
1989,4.42,2.86988888888889,3.09
1990,NA,NA,NA
1991,4.79,3.106875,3.31
1992,NA,NA,NA
1993,NA,NA,NA
1994,NA,NA,NA
1995,NA,NA,NA
1996,NA,NA,NA
1997,NA,NA,NA
1998,NA,NA,NA
1999,NA,NA,NA
2000,NA,NA,NA
2001,NA,NA,NA
2002,NA,NA,NA
2003,NA,NA,NA
2004,NA,NA,NA
2005,4.93,3.07227520435967,3.3
2006,4.88,2.93266369047619,3.225
2007,4.83,3.03283602150538,3.24
2008,4.5,2.93476388888889,3.185
2009,4.43,2.83400537634409,3.055
2010,4.46,2.89504166666667,3.11
2011,4.38,2.88978494623656,3.115
2012,4.36,2.87176075268817,3.16
2013,4.45,2.92875,3.18
2014,4.71,2.99149193548387,3.15
2015,4.78,2.91204166666667,3.17
2016,5.27,3.00614247311828,3.26
2017,5,3.0619623655914,3.36
2018,4.76,3.05853395061728,3.3
2019,4.73,2.98134408602151,3.2
2020,4.41,2.76355555555556,2.99
2021,4.64,2.86755376344086,3.12
2022,4.48,2.82841666666667,3.09
2023,4.68,2.87432795698925,3.1
2024,4.44,2.95575268817204,3.22
2025,4.35,2.90847222222222,3.155
2026,NA,NA,NA
2027,NA,NA,NA
2028,NA,NA,NA
2029,NA,NA,NA
2030,NA,NA,NA
2031,NA,NA,NA
2032,NA,NA,NA
2033,NA,NA,NA
2034,NA,NA,NA
2035,NA,NA,NA
2036,NA,NA,NA
2037,NA,NA,NA
2038,NA,NA,NA
2039,NA,NA,NA
2040,NA,NA,NA
2041,NA,NA,NA
2042,NA,NA,NA
2043,NA,NA,NA
2044,NA,NA,NA
2045,NA,NA,NA
2046,NA,NA,NA
2047,NA,NA,NA
2048,NA,NA,NA
2049,NA,NA,NA
2050,NA,NA,NA
2051,NA,NA,NA
2052,NA,NA,NA
2053,NA,NA,NA
2054,NA,NA,NA
2055,NA,NA,NA
2056,NA,NA,NA
2057,NA,NA,NA
2058,NA,NA,NA
2059,NA,NA,NA
2060,NA,NA,NA
2061,NA,NA,NA
2062,NA,NA,NA
2063,NA,NA,NA
2064,NA,NA,NA
2065,NA,NA,NA
2066,NA,NA,NA
2067,4.71,2.97889784946237,3.19
2068,4.72,2.93666666666667,3.155
2069,4.41,2.83635752688172,3.125
2070,4.61,2.90920833333333,3.2
2071,4.53,2.92735215053763,3.12
2072,4.39,2.92033602150538,3.155
2073,4.43,2.91902777777778,3.175
2074,4.36,2.86458333333333,3.09
2075,4.65,3.026375,3.22
2076,4.91,3.04325268817204,3.33
2077,4.88,3.07345430107527,3.34
2078,4.5,2.96998511904762,3.24
2079,4.59,2.9616935483871,3.14
2080,4.19,2.70913888888889,2.895
2081,4.36,2.80006720430108,3.11
2082,4.5,2.84925,3.13
2083,4.41,2.81779569892473,3.15
2084,4.39,2.83815860215054,3.07
2085,4.3,2.83698611111111,3.035
2086,4.44,2.87353494623656,3.13
2087,4.89,3.02895833333333,3.24
2088,5.06,3.11702956989247,3.335
2089,5.25,3.00966397849462,3.24
2090,4.82,2.9684375,3.195
2091,4.81,3.06481182795699,3.255
2092,4.52,2.93273611111111,3.135
2093,4.36,2.85248655913978,3.045
2094,4.4,2.88044444444444,3.135
2095,4.5,2.92329301075269,3.19
2096,4.43,2.86850806451613,3.115
2097,4.33,2.87220833333333,3.04
2098,4.2,2.79293010752688,2.95
2099,4.54,2.92945833333333,3.22
2100,4.84,2.9680376344086,3.225
2101,4.92,2.87186827956989,3.09
2102,4.74,2.96553571428571,3.23
2103,4.65,2.90762096774194,3.09
2104,4.53,2.79198611111111,3
2105,4.35,2.7548252688172,3.03
2106,4.35,2.78143055555556,3.045
2107,4.53,2.85520161290323,3.05
2108,4.36,2.85059139784946,3.1
2109,4.4,2.78631944444444,2.995
2110,4.58,2.97141129032258,3.1
2111,4.73,3.05301388888889,3.26
2112,5.15,2.9185752688172,3.195
2113,4.65,2.91311827956989,3.18
2114,4.76,2.98195402298851,3.155
2115,4.73,2.88314516129032,3.01
2116,4.58,2.84125,3.015
2117,4.42,2.81366935483871,3.02
2118,4.45,2.84755555555556,3.11
2119,4.59,2.92989247311828,3.13
2120,4.4,2.93498655913979,3.13
2121,4.54,2.91245833333333,3.105
2122,4.74,2.90360215053763,3.07
2123,4.34,2.88454166666667,3.07
2124,4.6,2.95934139784946,3.2
2125,4.4,2.86064952638701,3.1
2126,4.76,2.95320061255743,3.17
2127,4.64,2.86883064516129,3
2128,4.12,2.742875,2.88
2129,4.48,2.86938172043011,3.055
2130,4.41,2.82525,3.08
2131,4.33,2.8359811827957,3.08
2132,4.31,2.92885752688172,3.1
2133,4.28,2.93752777777778,3.07
2134,4.6,2.94247311827957,3.1
2135,4.72,3.0275,3.17
2136,5.04,3.09513440860215,3.285
2137,4.97,3.11615591397849,3.295
2138,5.01,3.07900297619048,3.27
2139,4.45,2.94529569892473,3.13
2140,4.42,2.91361111111111,3.075
2141,4.34,2.80576612903226,2.95
2142,4.32,2.82530555555556,3.03
2143,4.41,2.84206989247312,3.09
2144,4.35,2.91908602150538,3.15
2145,4.28,2.94963888888889,3.09
2146,4.3,2.86114247311828,2.96
2147,4.39,2.85488888888889,3.03
2148,4.64,2.87258064516129,3.13
2149,4.39,2.87935483870968,3.09
2150,4.89,3.0584375,3.27
2151,4.54,2.88608870967742,3.03
2152,4.27,2.84316666666667,3.005
2153,4.21,2.78833333333333,2.99
2154,4.31,2.76811111111111,2.965
2155,4.35,2.84681451612903,3.02
2156,4.35,2.86489247311828,3.06
2157,4.53,2.89480555555556,3.065
2158,4.44,2.95483870967742,3.06
2159,4.51,2.93508333333333,3.07
2160,4.95,3.05424731182796,3.26
2161,4.69,2.99212365591398,3.22
2162,4.72,3.02905172413793,3.18
2163,4.56,2.93307795698925,3.04
2164,4.46,2.86570833333333,2.99
2165,4.31,2.82459677419355,3.04
2166,4.34,2.87109722222222,3.13
2167,4.37,2.83622311827957,3.08
2168,4.34,2.85299731182796,3.04
2169,4.33,2.87858333333333,3.09
2170,4.41,2.8632123655914,3.065
2171,4.79,2.97477777777778,3.15
2172,NA,NA,NA
2173,NA,NA,NA
2174,NA,NA,NA
2175,4.4,2.93501344086022,3.12
2176,4.36,2.8685,2.99
2177,4.47,2.84944892473118,2.99
2178,4.46,2.88302777777778,3.11
2179,4.25,2.82131720430108,3.09
2180,4.32,2.85641129032258,3.055
2181,4.27,2.87963888888889,3.035
2182,4.34,2.96145161290323,3.11
2183,4.97,3.08863888888889,3.275
2184,NA,NA,NA
2185,NA,NA,NA
2186,NA,NA,NA
2187,4.56,3.01728494623656,3.23
2188,4.48,2.94781944444444,3.095
2189,4.3,2.7825,2.97
2190,4.44,2.88438888888889,3.12
2191,4.34,2.90252688172043,3.15
2192,4.24,2.91993279569892,3.2
2193,4.25,2.94077777777778,3.145
2194,4.6,3.02552419354839,3.175
2195,4.83,3.12604166666667,3.265
2196,5.15,3.15844086021505,3.38
2197,5.04,3.2270564516129,3.525
2198,4.84,3.27331845238095,3.48
2199,4.63,3.14897849462366,3.325
2200,4.49,2.93668055555556,3.1
2201,4.3,2.88220430107527,3.09
2202,4.42,2.91840277777778,3.17
2203,4.49,2.97439516129032,3.2
2204,4.38,2.94952956989247,3.17
2205,4.34,2.91966666666667,3.15
2206,4.41,2.93005376344086,3.15
2207,4.77,3.22323611111111,3.44
2208,4.63,2.97391129032258,3.24
2209,4.72,2.90759408602151,3.21
2210,4.57,3.01600574712644,3.245
2211,4.72,2.96029569892473,3.115
2212,4.44,2.87790277777778,3
2213,4.32,2.85268817204301,3.065
2214,4.32,2.82456944444444,3.07
2215,4.37,2.83411290322581,3.11
2216,4.36,2.89665322580645,3.09
2217,4.35,2.89481944444444,3.135
2218,4.41,2.9670564516129,3.2
2219,4.86,3.14059722222222,3.35
2220,4.67,2.95977150537634,3.155
2221,4.58,2.86885752688172,3.13
2222,4.83,2.83662202380952,3.065
2223,4.3,2.81646505376344,3.07
2224,4.27,2.80665277777778,2.985
2225,4.44,2.77270161290323,2.95
2226,4.42,2.80088888888889,3.05
2227,4.24,2.8214247311828,3.12
2228,4.2,2.80971774193548,3.095
2229,4.42,2.85658333333333,3.07
2230,4.63,2.91448924731183,3.11
2231,4.36,2.83931944444444,3.05
2232,4.54,2.83943548387097,3.115
2233,4.7,3.07801075268817,3.34
2234,4.74,3.02199404761905,3.275
2235,4.49,2.94926075268817,3.195
2236,4.45,2.81383333333333,3.045
2237,4.41,2.84034946236559,3.05
2238,4.37,2.83093610698366,3.09
2239,4.25,2.85510752688172,3.12
2240,4.2,2.84787634408602,3.13
2241,4.19,2.88845833333333,3.13
2242,4.24,2.86693548387097,3.04
2243,NA,NA,NA
2244,NA,NA,NA
2245,4.87,3.00231182795699,3.25
2246,4.87,3.00916666666667,3.26
2247,4.68,2.96008275862069,3.15
2248,4.24,2.80830555555556,3.025
2249,4.43,2.87868279569892,3.08
2250,4.34,2.82227777777778,3.095
2251,4.35,2.89618279569892,3.135
2252,4.43,2.82377688172043,3.05
2253,4.28,2.83715277777778,3.1
2254,4.4,2.81274193548387,3.03
2255,4.75,2.95531944444444,3.105
2256,5.05,3.03618279569892,3.265
2257,4.69,2.96751344086021,3.315
2258,4.25,2.78932471264368,3.03
2259,4.49,2.81895161290323,3.03
2260,4.26,2.83731944444444,3
2261,4.32,2.84442204301075,3.1
