"latitude" "longitude"
44.0167 144.2833
57.14325 -2.07451
31.5833 131.4167
13.5833 -89.8333
16.84 -99.9117
51.8633 -176.6317
37.7717 -122.2983
36.1167 -5.4333
38.9833 -76.4816
-23.65 -70.4
47.3 -53.9833
28.9722 -13.53
46.2083 -123.7667
39.355 -74.4183
38.3 141.5
8.9617 -79.5733
39.2667 -76.5783
48.836 -125.136
44.3917 -68.205
43.5273 -1.5148
52.163 -128.143
32.4 -64.6999
42.355 -71.0517
48.3829 -4.495
41.1733 -73.1817
3.9 -77.1
-34.6667 -58.5
36.5333 -6.2833
50.9694 1.8677
-12.05 -77.15
38.5733 -76.0683
50.042 -125.247
-25.0167 -47.925
38.9683 -74.96
10.3833 -75.5333
38.6917 -9.4167
35.9 -5.3167
43.345 -124.3217
32.7817 -79.925
46.2333 -63.1167
49.6514 -1.6355
36.9667 -76.1133
27.1 142.2
35.75 140.8667
1.9817 -157.4717
58.7833 -94.2
60.5583 -145.7533
41.745 -124.1833
9.355 -79.915
53.8667 8.7167
60.0319 20.3848
53.3264 6.9331
52.965 4.7464
49.9292 1.0845
51.11694 1.31806
36.1833 -75.74
51.0481 2.3667
-27.15 -109.4483
44.9033 -66.985
55.4667 8.4333
-65.25 -64.2667
30.6717 -81.4667
52.01378 -4.98333
60.4086 18.2108
-33.85 151.2333
32.0333 -80.9017
28.9483 -95.3083
40.65 139.9333
32.7 128.85
48.769 -123.451
64.9158 21.2306
29.31 -94.7933
29.2853 -94.7894
54.5667 11.9333
57.6847 11.7906
29.2633 -89.9567
13.4333 144.65
40.5333 141.5333
41.7833 140.7167
44.6667 -63.5833
60.5628 27.1792
43.2833 145.5667
59.8229 22.9766
63.4253 9.1014
60.1536 24.9562
54.03167 -2.92042
19.7333 -155.0667
51.9775 4.12
53.30777 -4.63116
70.9803 25.9728
21.3067 -157.8667
56.1 12.4667
32.4167 131.6833
-22.8967 -43.165
53.63103 -0.18603
24.3333 124.1667
16.7383 -169.53
58.2983 -134.412
31.5833 130.5667
20.9 -156.4667
65.6969 23.0961
-2.81 -171.7183
